IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
HG03457	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03458	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03460	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03461	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03464	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03469	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03470	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03472	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03473	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03476	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03478	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03479	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03484	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03485	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03499	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03511	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03514	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03515	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03517	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03518	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03520	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03521	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03538	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03539	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03547	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03548	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03556	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03557	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03558	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03559	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03563	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03565	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03567	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03571	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03572	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03574	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03575	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03577	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03578	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
HG03582	NA	AFR	1000g_phase3_wgs	WGS	GRCh38
