IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
NA07000	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07022	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07031	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07034	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07037	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07045	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07051	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07055	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07056	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07345	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07346	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07347	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07357	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA07435	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11829	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11830	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11831	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11832	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11839	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11840	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11843	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11881	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11882	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11891	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11892	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11893	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11894	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11917	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11918	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11919	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11920	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11930	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11931	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11932	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11933	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11992	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11993	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11994	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA11995	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12003	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
NA12004	NA	EUR	1000g_phase3_wgs	WGS	GRCh38
