IID	FID	SUPERPOP	DATASET	ASSAY	BUILD
NA18616	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18617	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18618	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18619	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18620	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18621	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18622	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18623	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18624	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18625	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18626	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18627	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18628	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18629	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18630	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18631	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18632	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18633	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18634	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18635	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18636	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18637	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18638	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18639	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18640	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18641	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18642	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18643	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18644	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18645	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18646	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18647	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18648	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18740	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18745	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18747	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18748	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18749	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18757	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18939	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18940	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18941	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
NA18942	NA	EAS	1000g_phase3_wgs	WGS	GRCh38
